instance,rank_by_cost,method,category,runs,cost_mean,cost_std,cost_min,cost_max,reference_cost,gap_mean,gap_std,valid_rate,train_time_mean,inference_time_mean,postprocess_time_mean,total_time_mean,episodes
A-n80-k10,3.0,Nearest Neighbor + 2-opt,heuristic_local_search,1,2341.0,,2341.0,2341.0,,,,1.0,0.0,0.0038,0.0033,0.0071,
A-n80-k10,4.0,Nearest Neighbor CVRP,heuristic_baseline,1,2348.0,,2348.0,2348.0,,,,1.0,0.0,0.0038,0.0,0.0038,
B-n57-k7,1.0,Clarke & Wright + 2-opt,heuristic_local_search,1,1241.0,,1241.0,1241.0,,,,0.0,0.0,0.0153,0.0014,0.0168,
B-n57-k7,2.0,Clarke & Wright Savings,heuristic_constructive,1,1242.0,,1242.0,1242.0,,,,0.0,0.0,0.0153,0.0,0.0153,
B-n57-k7,3.0,Nearest Neighbor + 2-opt,heuristic_local_search,1,1788.0,,1788.0,1788.0,,,,0.0,0.0,0.0016,0.0035,0.0051,
B-n57-k7,4.0,Nearest Neighbor CVRP,heuristic_baseline,1,1866.0,,1866.0,1866.0,,,,0.0,0.0,0.0016,0.0,0.0016,
X-n101-k25,1.0,Clarke & Wright + 2-opt,heuristic_local_search,1,28936.0,,28936.0,28936.0,,,,0.0,0.0,0.0554,0.0012,0.0566,
X-n101-k25,2.0,Clarke & Wright Savings,heuristic_constructive,1,28986.0,,28986.0,28986.0,,,,0.0,0.0,0.0554,0.0,0.0554,
X-n101-k25,3.0,Nearest Neighbor + 2-opt,heuristic_local_search,1,41536.0,,41536.0,41536.0,,,,0.0,0.0,0.0026,0.0009,0.0035,
X-n101-k25,4.0,Nearest Neighbor CVRP,heuristic_baseline,1,41944.0,,41944.0,41944.0,,,,0.0,0.0,0.0026,0.0,0.0026,
