instance,method,category,runs,cost_mean,cost_std,cost_min,cost_max,reference_cost,gap_mean,gap_std,gap_min,gap_max,routes_mean,valid_rate,train_time_mean,inference_time_mean,postprocess_time_mean,total_time_mean,episodes,rank_by_cost
A-n39-k6,POMO-style sampled eval + 2-opt,rl_main_local_search,5,1093.2,54.315743574032005,1035.0,1179.0,831.0,31.552346570397113,6.536190562458726,24.548736462093864,41.87725631768953,6.0,1.0,911.5758090000134,9.659933620004448,0.0022212999989278,921.2379639200168,500.0,4.0
A-n39-k6,Q-learning RL,rl_baseline,5,1117.2,79.2697924811211,1068.0,1256.0,831.0,34.44043321299639,9.539084534430934,28.51985559566787,51.143200962695545,6.0,0.4,10.038216400006785,0.00567092000273982,0.0,10.043887320009526,1000.0,5.0
A-n39-k6,POMO-style multi-greedy + 2-opt,rl_main_local_search,5,1118.8,69.88347444138707,1042.0,1213.0,831.0,34.63297232250301,8.40956371135825,25.39109506618532,45.96871239470517,6.0,1.0,911.5758090000134,0.5054615999921225,0.0017762799863703198,912.0830468799919,500.0,6.0
A-n39-k6,Nearest Neighbor + 2-opt,heuristic_local_search,1,1138.0,,1138.0,1138.0,831.0,36.94344163658243,,36.94344163658243,36.94344163658243,6.0,1.0,0.0,0.0004167999722994,0.0011034000199288,0.0015201999922282,,7.0
A-n39-k6,Nearest Neighbor CVRP,heuristic_baseline,1,1145.0,,1145.0,1145.0,831.0,37.785800240673886,,37.785800240673886,37.785800240673886,6.0,1.0,0.0,0.0004167999722994,0.0,0.0004167999722994,,8.0
A-n39-k6,POMO-style best sampled,rl_main,5,1258.4,77.41640652988231,1154.0,1372.0,831.0,51.432009626955484,9.316053734041192,38.86883273164862,65.1022864019254,6.0,1.0,911.5758090000134,0.0,0.0,911.5758090000134,500.0,9.0
A-n39-k6,POMO-style sampled eval,rl_main,5,1299.4,123.453635021412,1196.0,1500.0,831.0,56.36582430806258,14.856033095236102,43.92298435619736,80.50541516245488,6.0,1.0,911.5758090000134,9.659933620004448,0.0,921.2357426200178,500.0,10.0
A-n39-k6,POMO-style multi-greedy,rl_main,5,1310.0,121.43310915891101,1203.0,1505.0,831.0,57.64139590854393,14.612889188797958,44.765342960288805,81.10709987966305,6.0,1.0,911.5758090000134,0.5054615999921225,0.0,912.0812706000055,500.0,11.0
A-n80-k10,Clarke & Wright + 2-opt,heuristic_local_search,1,1838.0,,1838.0,1838.0,,,,,,10.0,1.0,0.0,0.0266623999923467,0.0020345000084489,0.0286969000007957,,1.0
A-n80-k10,Clarke & Wright Savings,heuristic_constructive,1,1840.0,,1840.0,1840.0,,,,,,10.0,1.0,0.0,0.0266623999923467,0.0,0.0266623999923467,,2.0
A-n80-k10,Nearest Neighbor + 2-opt,heuristic_local_search,1,2341.0,,2341.0,2341.0,,,,,,10.0,1.0,0.0,0.0037578999763354,0.0033221999765373,0.0070800999528728,,3.0
A-n80-k10,Nearest Neighbor CVRP,heuristic_baseline,1,2348.0,,2348.0,2348.0,,,,,,10.0,1.0,0.0,0.0037578999763354,0.0,0.0037578999763354,,4.0
B-n57-k7,Clarke & Wright + 2-opt,heuristic_local_search,1,1241.0,,1241.0,1241.0,,,,,,8.0,0.0,0.0,0.0153314000344835,0.0014329000259749,0.0167643000604584,,1.0
B-n57-k7,Clarke & Wright Savings,heuristic_constructive,1,1242.0,,1242.0,1242.0,,,,,,8.0,0.0,0.0,0.0153314000344835,0.0,0.0153314000344835,,2.0
B-n57-k7,Nearest Neighbor + 2-opt,heuristic_local_search,1,1788.0,,1788.0,1788.0,,,,,,8.0,0.0,0.0,0.0016208000015467,0.0035264000180177,0.0051472000195644,,3.0
B-n57-k7,Nearest Neighbor CVRP,heuristic_baseline,1,1866.0,,1866.0,1866.0,,,,,,8.0,0.0,0.0,0.0016208000015467,0.0,0.0016208000015467,,4.0
X-n101-k25,Clarke & Wright + 2-opt,heuristic_local_search,1,28936.0,,28936.0,28936.0,,,,,,28.0,0.0,0.0,0.0554456000099889,0.001157000020612,0.056602600030601,,1.0
X-n101-k25,Clarke & Wright Savings,heuristic_constructive,1,28986.0,,28986.0,28986.0,,,,,,28.0,0.0,0.0,0.0554456000099889,0.0,0.0554456000099889,,2.0
X-n101-k25,Nearest Neighbor + 2-opt,heuristic_local_search,1,41536.0,,41536.0,41536.0,,,,,,26.0,0.0,0.0,0.0026331000262871,0.0009077000431716,0.0035408000694587,,3.0
X-n101-k25,Nearest Neighbor CVRP,heuristic_baseline,1,41944.0,,41944.0,41944.0,,,,,,26.0,0.0,0.0,0.0026331000262871,0.0,0.0026331000262871,,4.0
