instance,method,category,seed,cost,reference_cost,gap_percent,routes,vehicle_count,is_valid,missing_customers_count,duplicated_customers_count,capacity_violations_count,train_time_sec,inference_time_sec,postprocess_time_sec,total_time_sec,episodes,notes,source_file,rank_by_cost
X-n101-k25,Clarke & Wright + 2-opt,heuristic_local_search,,28936.0,,,28,25,False,0,0,0,0.0,0.0554456000099889,0.001157000020612,0.056602600030601,,Clarke & Wright amélioré par 2-opt intra-route.,results\heuristics\experiments_heuristics.csv,1.0
A-n32-k5,Q-learning RL,rl_baseline,42.0,1344.0,784.0,71.42857142857143,5,5,True,0,0,0,5.995401500025764,0.0056989999720826,0.0,6.001100499997847,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,10.0
A-n32-k5,Q-learning RL,rl_baseline,43.0,1310.0,784.0,67.09183673469387,5,5,True,0,0,0,7.325540999998338,0.0048656999715603,0.0,7.330406699969899,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,10.0
A-n32-k5,Q-learning RL,rl_baseline,44.0,1096.0,784.0,39.795918367346935,5,5,True,0,0,0,5.478784199978691,0.0066488999873399,0.0,5.485433099966031,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,10.0
A-n32-k5,Q-learning RL,rl_baseline,45.0,1237.0,784.0,57.78061224489795,5,5,True,0,0,0,6.640099599957466,0.0064524000044912,0.0,6.646551999961957,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,10.0
A-n32-k5,Q-learning RL,rl_baseline,46.0,1220.0,784.0,55.61224489795919,5,5,True,0,0,0,5.561829600017518,0.0051455000066198,0.0,5.566975100024138,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,10.0
A-n37-k5,Q-learning RL,rl_baseline,42.0,1025.0,669.0,53.21375186846039,5,5,True,0,0,0,6.191258800041396,0.0044609999749809,0.0,6.195719800016377,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,8.0
A-n37-k5,Q-learning RL,rl_baseline,43.0,1022.0,669.0,52.76532137518684,5,5,True,0,0,0,6.210726999968756,0.0069703999906778,0.0,6.217697399959434,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,8.0
A-n37-k5,Q-learning RL,rl_baseline,44.0,1104.0,669.0,65.02242152466367,5,5,True,0,0,0,16.30138820002321,0.023171100008767,0.0,16.32455930003198,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,8.0
A-n37-k5,Q-learning RL,rl_baseline,45.0,999.0,669.0,49.327354260089685,5,5,True,0,0,0,21.651798099977896,0.0106341000064276,0.0,21.662432199984323,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,8.0
