instance,method,cost_mean,cost_std,cost_min,cost_max,gap_mean,gap_std,gap_min,gap_max,valid_rate,train_time_mean,inference_time_mean,postprocess_time_mean,total_time_mean
A-n32-k5,POMO-style best sampled,1026.4,38.48766036017257,959.0,1052.0,30.918367346938776,4.90914035206283,22.321428571428573,34.183673469387756,1.0,725.6439480600063,0.0,0.0,725.6439480600063
A-n32-k5,POMO-style best sampled + 2-opt,954.2,41.191018438489714,912.0,1015.0,21.70918367346939,5.253956433480832,16.3265306122449,29.464285714285715,1.0,725.6439480600063,0.0,0.0024498000158928333,725.6463978600223
A-n32-k5,POMO-style multi-greedy,1066.4,63.17673622465787,956.0,1116.0,36.02040816326531,8.058257171512484,21.93877551020408,42.3469387755102,1.0,725.6439480600063,0.4008490200038068,0.0,726.0447970800102
A-n32-k5,POMO-style multi-greedy + 2-opt,928.0,16.015617378046965,916.0,955.0,18.36734693877551,2.0428083390366036,16.83673469387755,21.81122448979592,1.0,725.6439480600063,0.4008490200038068,0.0015503999893553555,726.0463474799996
A-n32-k5,POMO-style sampled eval,1058.0,58.12486559124244,963.0,1113.0,34.94897959183673,7.413885917250312,22.831632653061224,41.964285714285715,1.0,725.6439480600063,7.65561364000896,0.0,733.2995617000154
A-n32-k5,POMO-style sampled eval + 2-opt,946.4,18.796276226955165,928.0,969.0,20.714285714285715,2.3974842126218325,18.367346938775512,23.596938775510203,1.0,725.6439480600063,7.65561364000896,0.0019208600046113134,733.30148256002
A-n37-k5,POMO-style best sampled,1054.8,29.149614062625236,1013.0,1084.0,57.668161434977584,4.357191937612147,51.42002989536621,62.03288490284006,1.0,833.6789363599964,0.0,0.0,833.6789363599964
A-n37-k5,POMO-style best sampled + 2-opt,873.8,34.492028064467306,823.0,912.0,30.612855007473843,5.155759052984649,23.019431988041852,36.32286995515695,1.0,833.6789363599964,0.0,0.013334840023890137,833.6922712000203
A-n37-k5,POMO-style multi-greedy,1137.2,79.1403816013039,1036.0,1252.0,69.98505231689089,11.8296534531097,54.85799701046338,87.14499252615845,1.0,833.6789363599964,0.46627407998312265,0.0,834.1452104399796
A-n37-k5,POMO-style multi-greedy + 2-opt,907.6,50.13781008380801,825.0,957.0,35.66517189835575,7.494440969179076,23.318385650224215,43.04932735426009,1.0,833.6789363599964,0.46627407998312265,0.0031731200171634553,834.1483835599968
A-n37-k5,POMO-style sampled eval,1087.6,29.26260412198477,1041.0,1113.0,62.57100149476831,4.3740813336300075,55.60538116591929,66.3677130044843,1.0,833.6789363599964,8.837486759992316,0.0,842.5164231199888
A-n37-k5,POMO-style sampled eval + 2-opt,879.0,42.860237983473674,832.0,923.0,31.390134529147986,6.40661255358351,24.364723467862483,37.96711509715994,1.0,833.6789363599964,8.837486759992316,0.003367980010807514,842.5197910999996
A-n39-k6,POMO-style best sampled,1258.4,77.41640652988231,1154.0,1372.0,51.43200962695547,9.316053734041189,38.86883273164862,65.1022864019254,1.0,911.5758090000134,0.0,0.0,911.5758090000134
A-n39-k6,POMO-style best sampled + 2-opt,1073.6,59.768720916546314,980.0,1145.0,29.193742478941033,7.192385188513394,17.930204572803852,37.785800240673886,1.0,911.5758090000134,0.0,0.00402581999078393,911.5798348200042
A-n39-k6,POMO-style multi-greedy,1310.0,121.43310915891101,1203.0,1505.0,57.64139590854393,14.612889188797958,44.765342960288805,81.10709987966305,1.0,911.5758090000134,0.5054615999921225,0.0,912.0812706000055
A-n39-k6,POMO-style multi-greedy + 2-opt,1118.8,69.88347444138707,1042.0,1213.0,34.63297232250301,8.409563711358249,25.391095066185322,45.96871239470517,1.0,911.5758090000134,0.5054615999921225,0.001776279986370355,912.0830468799919
A-n39-k6,POMO-style sampled eval,1299.4,123.453635021412,1196.0,1500.0,56.36582430806258,14.856033095236103,43.922984356197354,80.50541516245488,1.0,911.5758090000134,9.659933620004448,0.0,921.2357426200178
A-n39-k6,POMO-style sampled eval + 2-opt,1093.2,54.315743574032005,1035.0,1179.0,31.552346570397113,6.536190562458727,24.548736462093864,41.87725631768953,1.0,911.5758090000134,9.659933620004448,0.0022212999989278614,921.2379639200168
