instance,method,category,seed,cost,reference_cost,gap_percent,routes,vehicle_count,is_valid,missing_customers_count,duplicated_customers_count,capacity_violations_count,train_time_sec,inference_time_sec,postprocess_time_sec,total_time_sec,episodes,notes
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,46,928.0,784,18.367346938775512,5,5,True,0,0,0,726.4998952000169,7.388620699988678,0.001978800049982965,733.8904947000556,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n32-k5,POMO-style best sampled,rl_main,46,1037.0,784,32.27040816326531,5,5,True,0,0,0,726.4998952000169,0.0,0.0,726.4998952000169,500,Meilleure solution valide rencontrée pendant l'active search.
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,46,976.0,784,24.489795918367346,5,5,True,0,0,0,726.4998952000169,0.0,0.0014844000106677413,726.5013796000276,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n37-k5,POMO-style multi-greedy,rl_main,42,1036.0,669,54.85799701046338,5,5,True,0,0,0,834.6274455999956,0.46094419999280944,0.0,835.0883897999884,500,POMO-style Active Search évalué en multi-greedy.
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,42,907.0,669,35.57548579970104,5,5,True,0,0,0,834.6274455999956,0.46094419999280944,0.002905300003476441,835.0912950999918,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n37-k5,POMO-style sampled eval,rl_main,42,1041.0,669,55.60538116591929,5,5,True,0,0,0,834.6274455999956,8.712739499984309,0.0,843.3401850999799,500,POMO-style Active Search évalué par sampling (128 rollouts).
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,42,880.0,669,31.53961136023916,5,5,True,0,0,0,834.6274455999956,8.712739499984309,0.0031275000073947012,843.3433125999873,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n37-k5,POMO-style best sampled,rl_main,42,1013.0,669,51.42002989536621,5,5,True,0,0,0,834.6274455999956,0.0,0.0,834.6274455999956,500,Meilleure solution valide rencontrée pendant l'active search.
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,42,866.0,669,29.446935724962632,5,5,True,0,0,0,834.6274455999956,0.0,0.01456720003625378,834.6420128000318,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n37-k5,POMO-style multi-greedy,rl_main,43,1104.0,669,65.02242152466367,5,5,True,0,0,0,822.8485243999748,0.4679577999631874,0.0,823.316482199938,500,POMO-style Active Search évalué en multi-greedy.
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,43,957.0,669,43.04932735426009,5,5,True,0,0,0,822.8485243999748,0.4679577999631874,0.0028715000371448696,823.3193536999752,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n37-k5,POMO-style sampled eval,rl_main,43,1084.0,669,62.03288490284006,5,5,True,0,0,0,822.8485243999748,8.858979500015266,0.0,831.7075038999901,500,POMO-style Active Search évalué par sampling (128 rollouts).
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,43,832.0,669,24.364723467862483,5,5,True,0,0,0,822.8485243999748,8.858979500015266,0.0029360000044107437,831.7104398999945,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n37-k5,POMO-style best sampled,rl_main,43,1076.0,669,60.837070254110614,5,5,True,0,0,0,822.8485243999748,0.0,0.0,822.8485243999748,500,Meilleure solution valide rencontrée pendant l'active search.
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,43,899.0,669,34.379671150971596,5,5,True,0,0,0,822.8485243999748,0.0,0.018799500016029924,822.8673238999909,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n37-k5,POMO-style multi-greedy,rl_main,44,1160.0,669,73.39312406576981,5,5,True,0,0,0,839.7447960000136,0.4665819999645464,0.0,840.2113779999781,500,POMO-style Active Search évalué en multi-greedy.
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,44,935.0,669,39.76083707025411,5,5,True,0,0,0,839.7447960000136,0.4665819999645464,0.002306499984115362,840.2136844999623,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n37-k5,POMO-style sampled eval,rl_main,44,1112.0,669,66.21823617339312,5,5,True,0,0,0,839.7447960000136,8.735499500005972,0.0,848.4802955000196,500,POMO-style Active Search évalué par sampling (128 rollouts).
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,44,923.0,669,37.96711509715994,5,5,True,0,0,0,839.7447960000136,8.735499500005972,0.003236500022467226,848.483532000042,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n37-k5,POMO-style best sampled,rl_main,44,1063.0,669,58.893871449925264,5,5,True,0,0,0,839.7447960000136,0.0,0.0,839.7447960000136,500,Meilleure solution valide rencontrée pendant l'active search.
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,44,912.0,669,36.32286995515695,5,5,True,0,0,0,839.7447960000136,0.0,0.015428700018674135,839.7602247000323,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n37-k5,POMO-style multi-greedy,rl_main,45,1252.0,669,87.14499252615845,5,5,True,0,0,0,830.3406381999957,0.49224549997597933,0.0,830.8328836999717,500,POMO-style Active Search évalué en multi-greedy.
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,45,825.0,669,23.318385650224215,5,5,True,0,0,0,830.3406381999957,0.49224549997597933,0.003740800020750612,830.8366244999925,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n37-k5,POMO-style sampled eval,rl_main,45,1113.0,669,66.3677130044843,5,5,True,0,0,0,830.3406381999957,9.27118059998611,0.0,839.6118187999818,500,POMO-style Active Search évalué par sampling (128 rollouts).
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,45,840.0,669,25.56053811659193,5,5,True,0,0,0,830.3406381999957,9.27118059998611,0.0052155000157654285,839.6170342999976,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n37-k5,POMO-style best sampled,rl_main,45,1084.0,669,62.03288490284006,5,5,True,0,0,0,830.3406381999957,0.0,0.0,830.3406381999957,500,Meilleure solution valide rencontrée pendant l'active search.
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,45,823.0,669,23.019431988041852,5,5,True,0,0,0,830.3406381999957,0.0,0.013332000002264977,830.353970199998,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n37-k5,POMO-style multi-greedy,rl_main,46,1134.0,669,69.50672645739911,5,5,True,0,0,0,840.8332776000025,0.4436409000190906,0.0,841.2769185000216,500,POMO-style Active Search évalué en multi-greedy.
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,46,914.0,669,36.62182361733931,5,5,True,0,0,0,840.8332776000025,0.4436409000190906,0.004041500040329993,841.2809600000619,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n37-k5,POMO-style sampled eval,rl_main,46,1088.0,669,62.63079222720478,5,5,True,0,0,0,840.8332776000025,8.609034699969925,0.0,849.4423122999724,500,POMO-style Active Search évalué par sampling (128 rollouts).
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,46,920.0,669,37.5186846038864,5,5,True,0,0,0,840.8332776000025,8.609034699969925,0.0023244000039994717,849.4446366999764,500,POMO-style sampled eval amélioré par 2-opt intra-route.
A-n37-k5,POMO-style best sampled,rl_main,46,1038.0,669,55.15695067264574,5,5,True,0,0,0,840.8332776000025,0.0,0.0,840.8332776000025,500,Meilleure solution valide rencontrée pendant l'active search.
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,46,869.0,669,29.895366218236173,5,5,True,0,0,0,840.8332776000025,0.0,0.004546800046227872,840.8378244000487,500,Meilleure solution active search améliorée par 2-opt intra-route.
A-n39-k6,POMO-style multi-greedy,rl_main,42,1255.0,831,51.02286401925391,6,6,True,0,0,0,903.3919939000043,0.5017713999841362,0.0,903.8937652999884,500,POMO-style Active Search évalué en multi-greedy.
A-n39-k6,POMO-style multi-greedy + 2-opt,rl_main_local_search,42,1068.0,831,28.51985559566787,6,6,True,0,0,0,903.3919939000043,0.5017713999841362,0.0014738999889232218,903.8952391999774,500,POMO-style multi-greedy amélioré par 2-opt intra-route.
A-n39-k6,POMO-style sampled eval,rl_main,42,1251.0,831,50.54151624548736,6,6,True,0,0,0,903.3919939000043,9.596620100026485,0.0,912.9886140000308,500,POMO-style Active Search évalué par sampling (128 rollouts).
